Gaze point at (382.43295847937, 119.62244702248) @619695535.473839
Gaze point at (649.040190504838, 56.8463717310992) @619698633.1584

Gaze point at (649.062107305392, 57.3023670575591) @619698643.554573

Gaze point at (649.133437383105, 57.3127443926529) @619698655.333077

Gaze point at (649.413724745219, 57.008593462586) @619698666.562008

Gaze point at (649.713538482946, 56.9267304295807) @619698676.898932

Gaze point at (649.858009255001, 56.4925279017763) @619698688.425043

Gaze point at (650.375069289386, 56.5454193999871) @619698699.846185

Gaze point at (651.201798587922, 56.2388843422787) @619698710.289011

Gaze point at (651.317862728687, 55.8749513539779) @619698721.942952

Gaze point at (651.419444715836, 55.7528870487952) @619698733.163952

Gaze point at (651.815690558493, 55.0808087977812) @619698743.457955

Gaze point at (652.976857915613, 51.7427400897218) @619698755.220597

Gaze point at (652.703983613572, 52.9738447485307) @619698766.458392

Gaze point at (653.057998398636, 51.9664714356269) @619698777.09063

Gaze point at (653.060534322998, 52.055089007577) @619698788.532765

Gaze point at (653.416540759047, 50.9825588988612) @619698799.966037

Gaze point at (654.092284570247, 47.5137760123354) @619698810.310425

Gaze point at (654.009062094622, 44.8110179959256) @619698821.621465

Gaze point at (653.522506191567, 41.9547702928817) @619698833.105589

Gaze point at (647.098349130431, 50.1002512224763) @619698843.546549

Gaze point at (633.83883863614, 55.9202372451786) @619698853.591891

Gaze point at (613.701020471665, 63.2728214401227) @619698864.68926

Gaze point at (400.508582919488, 185.724016580166) @619698942.516402

Gaze point at (408.778483075966, 179.593947016323) @619698953.844237

