STARTING DATA RECORDING
Gaze point at (1018.79797543594, 627.834530642843) @376357.816444163
Gaze point at (1017.85962433691, 627.042119773369) @376357.982993575
Gaze point at (1013.31521471405, 631.279384476113) @376358.149434285
Gaze point at (1011.40171659762, 624.341483040268) @376358.316058342
Gaze point at (1012.75622101989, 629.340129189125) @376358.482474793
Gaze point at (1015.06691989674, 633.238387651521) @376358.649079256
Gaze point at (1007.89752399763, 632.00355581278) @376358.815642664
Gaze point at (1003.3698978997, 632.827697613) @376358.98241881
Gaze point at (1008.24139806934, 632.950641879018) @376359.148795606
Gaze point at (223.513872925606, 326.009229321673) @376359.31525591
Gaze point at (248.148990951706, 340.110636188198) @376359.481962077
Gaze point at (249.258338715845, 349.938931524067) @376359.648494694
Gaze point at (246.692710969604, 340.600936009656) @376359.81519946
Gaze point at (245.073686305175, 345.179088189202) @376359.981659299
Gaze point at (246.026072052198, 348.369859669139) @376360.148014634
Gaze point at (249.419898842707, 371.152567557852) @376360.314715669
Gaze point at (253.402100562798, 386.454908063125) @376360.48147222
Gaze point at (288.542315506193, 390.472154908604) @376360.64780003
Gaze point at (737.543431418445, 460.022128205204) @376360.814353641
Gaze point at (966.309008197694, 579.950430894557) @376360.980868996
Gaze point at (1049.31886077555, 636.462345591859) @376361.147521045
Gaze point at (1056.88861461129, 639.473400060508) @376361.313746219
Gaze point at (1177.44344742897, 643.959835835986) @376361.480484576
Gaze point at (1168.2521163039, 641.171812761326) @376361.647172081
Gaze point at (1167.4162409182, 644.908579629443) @376361.813559607
Gaze point at (473.998898228621, 455.377857652727) @376361.98009269
Gaze point at (274.979276102718, 413.455725626625) @376362.146759201
Gaze point at (676.037754047905, 487.019063264061) @376362.313331007
Gaze point at (699.743150894203, 492.644749154776) @376362.479766586
Gaze point at (928.824143672464, 558.638352922238) @376362.64649188
Gaze point at (1096.01324320959, 594.337771556897) @376362.81295545
Gaze point at (1111.4964662194, 600.392376137122) @376362.979501596
Gaze point at (1121.29824045077, 617.04537811992) @376363.145833139
Gaze point at (1144.73533831129, 624.744077237367) @376363.312503849
Gaze point at (1141.51717456864, 630.944050843568) @376363.478980482
Gaze point at (1141.35204635505, 629.963500920409) @376363.64531669
Gaze point at (1142.03342927258, 632.238795965148) @376363.812211801
Gaze point at (771.96319480728, 528.009522549848) @376363.978569469
Gaze point at (276.270848782568, 378.295209197604) @376364.145085758
Gaze point at (278.345411030463, 363.984323493489) @376364.311747603
Gaze point at (276.396878845097, 355.709961227531) @376364.478339936
Gaze point at (271.736699390565, 354.577725268511) @376364.644726996
Gaze point at (498.543488534071, 625.848981724569) @376364.923217995
Gaze point at (498.466341758095, 580.630533962238) @376365.089751078
Gaze point at (540.971354373611, 591.372769904633) @376365.256461443
Gaze point at (610.523226689775, 605.565090144635) @376365.423110226
Gaze point at (275.600719426493, 367.69713461268) @376365.589341465
Gaze point at (259.950432696985, 367.596911432773) @376365.755943595
Gaze point at (263.399642189625, 370.480535203209) @376365.922712276
Gaze point at (259.924204893167, 369.459324503068) @376366.089238828
Gaze point at (418.574292246498, 628.413488994517) @376366.255585766
Gaze point at (442.619053254525, 680.488877158984) @376366.422198626
Gaze point at (441.585116100155, 673.4504280605) @376366.588873535
Gaze point at (340.56568760683, 627.66780437816) @376366.755187816
Gaze point at (335.009415951743, 636.401197585637) @376366.921653252
Gaze point at (225.772342452646, 418.71548916212) @376367.088385078
Gaze point at (232.458922197915, 402.815972456631) @376367.255030128
Gaze point at (245.272092139599, 328.404272071002) @376367.421356073
Gaze point at (246.937949819511, 331.48807698596) @376367.588040778
Gaze point at (226.085154548008, 561.550808647179) @376367.754752543
Gaze point at (225.490657815168, 636.098313204666) @376367.921224511
Gaze point at (284.366551906171, 673.381211677992) @376368.087586845
Gaze point at (283.116991197876, 680.818058901365) @376368.254271084
Gaze point at (278.471411046594, 683.512363117453) @376368.420555973
Gaze point at (293.141741698876, 688.64083520961) @376368.587103053
Gaze point at (303.432906698116, 688.65198359568) @376368.753891328
Gaze point at (493.306123779724, 669.711539407182) @376368.920409016
Gaze point at (499.558916559166, 675.742538861698) @376369.087150172
Gaze point at (716.126423634292, 660.741161557834) @376369.253522769
Gaze point at (760.647454787003, 658.668677055564) @376369.420453803
Gaze point at (1112.92961553135, 632.084911071923) @376369.586517091
Gaze point at (1096.72461431624, 634.58585128861) @376369.753351086
Gaze point at (1100.58931262427, 630.924923295855) @376369.919619181
Gaze point at (1085.33001233948, 639.743694153893) @376370.086464373
Gaze point at (820.516370029569, 630.158407871212) @376370.252902284
Gaze point at (382.62353389603, 680.623423297749) @376370.419405976
Gaze point at (331.086054867162, 675.477317343236) @376370.585773908
Gaze point at (197.75008072721, 632.887033677439) @376370.752321921
Gaze point at (185.773640781305, 639.494345730015) @376370.919063543
Gaze point at (185.327539050995, 642.974915990265) @376371.0853475
Gaze point at (179.145702597191, 648.431128414495) @376371.251993483
Gaze point at (183.538262021724, 660.360364617921) @376371.41854896
Gaze point at (177.622002795747, 656.324363042683) @376371.585061983
Gaze point at (88.2238449544922, 608.733564364154) @376371.751660381
Gaze point at (89.9826575283218, 608.268454837941) @376371.918203728
Gaze point at (94.4852841092332, 611.187256229728) @376372.084898231
Gaze point at (491.159059405353, 616.809271099724) @376372.251372998
Gaze point at (532.724048027704, 618.127742599063) @376372.417789916
Gaze point at (896.239836774638, 616.353396380709) @376372.584436366
Gaze point at (893.941138543847, 659.153371017883) @376372.839147388
Gaze point at (881.641212048424, 604.524538487373) @376373.005308647
Gaze point at (1042.59808179729, 616.468516352697) @376373.1721725
Gaze point at (960.244088488723, 617.938836972461) @376373.338849742
Gaze point at (1064.23568546653, 606.856242645709) @376373.50528672
Gaze point at (1096.35207492979, 609.419300580349) @376373.671459642
Gaze point at (1094.89296388896, 596.969279275727) @376373.838292705
Gaze point at (1112.56871422746, 573.832529465231) @376374.005010534
Gaze point at (1117.0925025419, 559.768681889363) @376374.171440515
Gaze point at (1109.6792997279, 561.191079713733) @376374.337529461
Gaze point at (511.802009321086, 568.304710087035) @376374.504646174
Gaze point at (-101.869362327632, 1185.98574969305) @376374.670684736
Gaze point at (-195.428742738087, 1150.53042718523) @376374.837822909
Gaze point at (886.753144020918, 417.135669475571) @376375.004253822
Gaze point at (855.253937996151, 453.309499508503) @376375.17110228
Gaze point at (698.397698925779, 557.236936331063) @376375.337476743
Gaze point at (1262.34405494385, 7.9892721955961) @376375.50381715
Gaze point at (1331.81953918878, 23.4609321334629) @376375.670417414
Gaze point at (1330.03820690676, 20.6692235390516) @376375.836420986
Gaze point at (1321.88671544909, 19.8071803282532) @376376.003568956
Gaze point at (1319.63091427659, 9.95133005388027) @376376.17004419
Gaze point at (530.220080507354, 271.522842088154) @376376.414693088
Gaze point at (547.362786145199, 251.022774883931) @376376.581244833
Gaze point at (548.763990794042, 260.905855307407) @376376.747946334
Gaze point at (889.762493002645, 81.1949539340475) @376376.914429965
Gaze point at (980.515469492823, 78.4779291267721) @376377.080889337
Gaze point at (1033.25381423819, 86.2815701923767) @376377.247782115
Gaze point at (719.244025370863, 76.7382734112942) @376377.413769359
STARTING DATA RECORDING
Gaze point at (481.768157896653, 323.374138829527) @376479.659331723
Gaze point at (120.112766414937, 139.625070965711) @376479.825685193
Gaze point at (102.3262632024, 130.642089196218) @376479.992420751
Gaze point at (515.556188740867, 104.492721156579) @376480.159204827
Gaze point at (627.282311219865, 55.6079111814766) @376480.325557364
